lat,lon,severity
51.4614,-0.2982,2
51.4287,-0.3239,2
51.4909,-0.2289,2
51.4322,-0.1781,20
51.5323,-0.083,20
51.5779,0.0701,2
51.4472,-0.4092,2
51.5406,-0.3018,24
51.4639,-0.1325,4
51.5488,-0.1911,22
51.3798,-0.1713,4
51.5571,-0.1345,2
51.5766,-0.1446,2
51.5393,-0.0937,2
51.4737,-0.1837,32
51.5565,-0.2454,2
51.502,-0.2285,2
51.4684,-0.2292,26
51.5727,-0.1261,2
51.5946,-0.1692,2
51.5706,0.1115,2
51.5306,-0.1766,20
51.3775,0.0175,2
51.4779,-0.1025,2
51.5357,0.1271,2
51.5407,-0.0959,2
51.4742,-0.0751,56
51.4976,-0.1349,2
51.4747,-0.0412,20
51.54,-0.1506,2
51.5286,-0.1635,2
51.5016,-0.1122,2
51.5605,-0.1146,20
51.5162,-0.0694,2
51.504,0.1186,2
51.4657,-0.0189,2
51.5183,-0.3316,2
51.3811,-0.013,2
51.5431,0.1658,2
51.5299,-0.0393,4
51.5411,-0.1727,4
51.5215,0.0969,2
51.4871,-0.1165,2
51.5212,-0.1148,22
51.4869,-0.0363,2
51.5705,-0.1148,20
51.5165,-0.1739,20
51.5254,0.0296,20
51.5101,-0.1891,20
51.5096,-0.3877,2
51.4417,-0.1876,6
51.4739,-0.0688,2
51.4489,-0.1729,14
51.528,-0.1098,2
51.4978,-0.1789,2
51.5668,-0.0811,2
51.6529,-0.2089,2
51.4648,-0.2667,2
51.517,-0.1279,2
51.5964,-0.1144,4
51.3975,-0.1568,2
51.4265,-0.0537,2
51.4393,-0.3618,2
51.5324,-0.025,2
51.4927,-0.2545,2
51.519,-0.1688,2
51.4153,0.1261,2
51.4512,-0.2589,2
51.6414,-0.1713,20
51.424,0.0893,2
51.5746,-0.2403,2
51.5141,-0.0612,2
51.49,-0.08,2
51.517,-0.1507,2
51.5114,-0.011,2
51.5794,-0.0728,2
51.5,-0.2115,2
51.5373,-0.1551,20
51.4592,-0.2111,2
51.4735,-0.388,20
51.4335,-0.2569,2
51.5088,-0.0095,2
51.5951,-0.1089,20
51.4085,-0.3071,2
51.5162,-0.1819,2
51.5834,0.0098,2
51.4115,-0.1926,20
51.5483,-0.1067,2
51.5945,-0.0691,2
51.5483,-0.11,20
51.5084,-0.2693,20
51.5238,-0.0874,2
51.4129,-0.068,4
51.4462,-0.072,6
51.4493,-0.1234,4
51.514,-0.2257,2
51.5501,-0.1098,2
51.4501,-0.2962,20
51.5027,-0.097,2
51.4619,-0.3045,2
51.4802,-0.1965,2
51.4507,0.0805,6
51.4613,-0.1451,20
51.4711,-0.3526,4
51.5745,-0.0861,2
51.4711,-0.0406,2
51.5021,-0.3635,2
51.4589,-0.1916,4
51.4206,-0.1872,2
51.5198,-0.056,2
51.4684,-0.365,2
51.3565,0.0817,2
51.5719,0.0834,22
51.4999,-0.1261,2
51.3973,-0.1158,4
51.5454,-0.0698,20
51.4939,-0.2151,2
51.5487,-0.0421,2
51.5235,-0.1142,2
51.5063,-0.1224,2
51.4536,-0.4047,2
51.5983,-0.096,4
51.3991,-0.1976,20
51.5578,-0.3179,2
51.5262,-0.0298,22
51.4745,-0.0776,2
51.4566,-0.3282,2
51.4928,-0.1897,2
51.4685,-0.0985,2
51.5105,-0.1213,2
51.4632,-0.2158,2
51.4963,-0.3253,2
51.5223,-0.1055,28
51.4636,-0.0155,2
51.5109,-0.1439,6
51.5262,-0.084,22
51.4181,-0.2944,2
51.4868,-0.179,2
51.5254,-0.0876,2
51.4616,-0.2685,2
51.5925,-0.1063,2
51.5049,-0.0957,30
51.3976,-0.0435,2
51.5317,-0.0448,4
51.5099,-0.345,2
51.5264,-0.1767,2
51.4883,-0.1113,8
51.4959,-0.113,2
51.6551,-0.0806,2
51.524,-0.153,94
51.4148,-0.313,4
51.4906,-0.0927,48
51.4519,-0.2981,20
51.4271,-0.3371,2
51.563,0.2158,2
51.4997,-0.232,2
51.4808,-0.0943,20
51.515,-0.1565,2
51.5038,-0.1046,4
